Name,GP,Min,Pts,FG,FGA,2Pt,2PtA,3Pt,3PtA,3P%,FTM,FTA,Off,Def,TOT,Asts,Stls,Blks,TOs,PFs,Team,Year
Dino Radoncic,1,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Real Madrid,2016
Sergio Llull,30,27.5,10.4,3.6,8.2,1.8,3.5,1.8,4.7,37.9,1.5,1.9,0.2,1.5,1.7,5.8,0.8,0.1,0.8,1.8,Real Madrid,2015
Rudy Fernandez,25,27.4,12.7,4.0,9.7,2.1,4.2,2.0,5.5,35.5,2.6,3.0,0.8,2.6,3.4,3.3,1.5,0.1,1.3,1.6,Real Madrid,2015
Sergio Rodriguez,28,21.6,11.1,3.9,8.8,2.3,4.8,1.5,4.0,38.1,1.8,2.2,0.2,1.2,1.4,5.1,1.0,0.0,1.3,1.6,Real Madrid,2015
Felipe Reyes,30,19.1,10.7,3.7,7.4,3.6,6.9,0.2,0.6,29.4,3.1,3.8,2.5,2.6,5.1,1.0,0.5,0.3,0.9,2.5,Real Madrid,2015
Gustavo Ayon,29,18.7,8.1,3.6,5.8,3.6,5.8,0.0,0.0,,0.9,1.2,1.7,2.9,4.5,1.9,1.1,0.6,1.2,2.3,Real Madrid,2015
Andres Nocioni,29,17.7,8.7,3.1,6.7,1.9,3.5,1.2,3.1,37.4,1.3,1.7,0.7,3.1,3.9,0.5,0.2,0.3,0.9,2.5,Real Madrid,2015
Jaycee Carroll,30,17.7,9.6,3.4,6.6,1.8,3.1,1.7,3.5,48.1,1.0,1.2,0.5,1.6,2.0,0.7,0.5,0.0,0.6,1.3,Real Madrid,2015
K.C. Rivers,30,17.0,5.3,2.0,4.6,1.0,2.2,1.0,2.4,41.1,0.3,0.3,0.4,1.9,2.3,1.1,0.6,0.0,0.4,1.6,Real Madrid,2015
Jonas Maciulis,27,14.0,3.9,1.3,3.4,0.7,1.7,0.6,1.7,33.3,0.8,1.1,0.8,1.6,2.4,1.0,0.6,0.1,0.7,1.5,Real Madrid,2015
Marcus Slaughter,27,12.2,3.0,1.2,1.9,1.2,1.9,0.0,0.0,,0.6,1.2,0.6,1.6,2.1,0.6,1.0,0.2,0.3,2.3,Real Madrid,2015
Yiannis Bouroussis,28,11.9,5.0,1.9,3.8,1.8,3.4,0.1,0.4,20.0,1.1,1.6,1.0,2.4,3.3,0.9,0.5,0.4,0.9,1.7,Real Madrid,2015
Salah Mejri,9,9.7,4.4,1.7,2.8,1.7,2.7,0.0,0.1,0.0,1.1,2.3,1.0,1.3,2.3,0.1,0.4,0.8,0.9,1.4,Real Madrid,2015
Facundo Campazzo,11,8.6,2.8,0.9,1.9,0.5,0.9,0.4,1.0,36.4,0.6,0.9,0.0,0.5,0.5,2.0,0.5,0.1,0.7,1.7,Real Madrid,2015
Sergio Llull,31,29.2,11.4,4.3,9.1,2.6,4.3,1.6,4.8,34.0,1.3,1.6,0.3,1.5,1.8,4.0,0.7,0.0,1.0,1.8,Real Madrid,2014
Rudy Fernandez,31,27.9,13.2,4.3,10.0,2.4,4.5,1.9,5.5,35.3,2.6,3.0,1.1,3.2,4.3,3.3,1.5,0.2,1.2,1.7,Real Madrid,2014
